seed,eps,region,case_pop,n_snps,n_train,n_test,n_ctrl,report_k,zero_reports,lr_threshold_test_95pct,lr_power,lr_member_mean,lr_nonmember_mean,true_sig,noisy_sig,tp,precision,recall,jaccard,maf_mae,rmse_maf,corr_maf
20,1.0,chr10_1Mb,MKK,588,120,51,165,1,478,-538.8301660670918,0.041666666666666664,-660.6117624816259,-633.1678410761061,323,98,54,0.5510204081632653,0.16718266253869968,0.14713896457765668,0.18302183905269256,0.25109305673025567,0.6863560285260263
21,1.0,chr10_1Mb,MKK,588,120,51,165,1,481,-701.8082582510176,0.058333333333333334,-822.7898708837896,-811.8356470624046,317,99,56,0.5656565656565656,0.17665615141955837,0.15555555555555556,0.19821404840543808,0.27951197770002884,0.6083326925794269
22,1.0,chr10_1Mb,MKK,588,120,51,165,1,481,-539.037164733358,0.058333333333333334,-616.5395663302329,-627.1442149554891,311,98,52,0.5306122448979592,0.16720257234726688,0.14565826330532214,0.17666869299581728,0.24784360685544327,0.6945318132887637
23,1.0,chr10_1Mb,MKK,588,120,51,165,1,483,-510.94443378294704,0.058333333333333334,-593.5538368521758,-593.5894769855087,325,92,43,0.4673913043478261,0.13230769230769232,0.11497326203208556,0.18046085403224718,0.2475383695447306,0.691268931228256
24,1.0,chr10_1Mb,MKK,588,120,51,165,1,479,-555.7336211122815,0.09166666666666666,-659.6559809047659,-663.8208629366349,320,99,53,0.5353535353535354,0.165625,0.1448087431693989,0.1857120944703154,0.25611790570983717,0.672590359510437
25,1.0,chr10_1Mb,MKK,588,120,51,165,1,483,-441.38271909220396,0.09166666666666666,-526.1368817375245,-531.2664075988902,315,81,41,0.5061728395061729,0.13015873015873017,0.11549295774647887,0.17772221036581082,0.24814681735393665,0.6781385873932736
26,1.0,chr10_1Mb,MKK,588,120,51,165,1,481,-610.3736495551142,0.06666666666666667,-688.217841969241,-688.474870364654,337,90,48,0.5333333333333333,0.142433234421365,0.1266490765171504,0.19232159527216655,0.26816529110451304,0.6341253936298271
27,1.0,chr10_1Mb,MKK,588,120,51,165,1,479,-680.6120036671684,0.075,-758.7327371244554,-764.0535566899661,308,97,60,0.6185567010309279,0.19480519480519481,0.17391304347826086,0.18074312506634163,0.25619066498319204,0.6698935873916742
28,1.0,chr10_1Mb,MKK,588,120,51,165,1,481,-435.7761057699794,0.08333333333333333,-524.4166761396989,-542.4895453006876,329,92,49,0.532608695652174,0.14893617021276595,0.13172043010752688,0.17985101126218753,0.2416361218578902,0.7008000886795922
29,1.0,chr10_1Mb,MKK,588,120,51,165,1,478,-497.25977627929353,0.03333333333333333,-680.8570829077878,-654.0285725213729,321,95,59,0.6210526315789474,0.1838006230529595,0.16526610644257703,0.17737608868753973,0.24743098069763522,0.7000331136941232
0,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-319.79154645338633,0.041666666666666664,-418.0337463314812,-414.9293696177606,320,95,42,0.4421052631578947,0.13125,0.1126005361930295,0.16908303152654217,0.22625231740324908,0.7458657532254772
1,3.0,chr10_1Mb,MKK,588,120,51,165,1,478,-341.5007705440004,0.06666666666666667,-458.8331537465918,-475.63865113551446,309,99,51,0.5151515151515151,0.1650485436893204,0.14285714285714285,0.1679134298937963,0.22575102425805132,0.7453937433296646
2,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-306.7505673450307,0.016666666666666666,-408.3582484496203,-433.89288240660295,329,90,45,0.5,0.13677811550151975,0.12032085561497326,0.17129815718484906,0.22655106524550828,0.7423514320234047
3,3.0,chr10_1Mb,MKK,588,120,51,165,1,483,-324.33495467955913,0.06666666666666667,-438.88744067473175,-442.9150143935876,317,89,53,0.5955056179775281,0.167192429022082,0.1501416430594901,0.16421571144441474,0.22160599462991873,0.7554551240589722
4,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-331.66869993073664,0.08333333333333333,-417.82105710010705,-409.95235124407606,302,91,47,0.5164835164835165,0.15562913907284767,0.13583815028901733,0.16442742220308823,0.22199529360147152,0.7513932906453107
5,3.0,chr10_1Mb,MKK,588,120,51,165,1,480,-339.9061465352239,0.14166666666666666,-411.7122856646867,-417.5615787722489,307,97,52,0.5360824742268041,0.16938110749185667,0.14772727272727273,0.16876459872924182,0.22336264415683846,0.7509059219485846
6,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-379.7166551330167,0.0,-496.9961231330646,-503.2157519140795,323,85,46,0.5411764705882353,0.14241486068111456,0.1270718232044199,0.17136460555125352,0.23317314356525493,0.7277633998244923
7,3.0,chr10_1Mb,MKK,588,120,51,165,1,477,-334.8241143328729,0.041666666666666664,-442.3999202587807,-436.92608924006475,310,97,46,0.4742268041237113,0.14838709677419354,0.12742382271468145,0.16501997926180353,0.2204399645445761,0.7615868455386339
8,3.0,chr10_1Mb,MKK,588,120,51,165,1,480,-300.58905452523106,0.08333333333333333,-398.02924704262927,-400.3259452785987,309,90,53,0.5888888888888889,0.1715210355987055,0.1531791907514451,0.15917854960522526,0.21092965700104008,0.7744012107633925
9,3.0,chr10_1Mb,MKK,588,120,51,165,1,481,-288.0354232659415,0.05,-391.34364159796957,-382.4209299028601,317,92,52,0.5652173913043478,0.1640378548895899,0.14565826330532214,0.16020621698427276,0.21539055478698738,0.7678462802681357
10,3.0,chr10_1Mb,MKK,588,120,51,165,1,484,-163.5172596190872,0.016666666666666666,-256.6253382897906,-266.87841571970074,316,84,38,0.4523809523809524,0.12025316455696203,0.10497237569060773,0.15856278197286997,0.20269328158444816,0.7901103168478861
11,3.0,chr10_1Mb,MKK,588,120,51,165,1,478,-289.2762330396358,0.041666666666666664,-397.48620175209425,-401.6909503679554,303,88,44,0.5,0.14521452145214522,0.12680115273775217,0.16316080040273537,0.21988735779106044,0.7602888552710284
12,3.0,chr10_1Mb,MKK,588,120,51,165,1,473,-296.0399849655186,0.175,-380.26379148173316,-417.6059728990178,316,92,48,0.5217391304347826,0.1518987341772152,0.13333333333333333,0.15937873380374065,0.21189381689729422,0.7777478093556767
13,3.0,chr10_1Mb,MKK,588,120,51,165,1,473,-314.37698927601906,0.016666666666666666,-445.5344998963892,-440.8126611522886,303,94,44,0.46808510638297873,0.14521452145214522,0.12464589235127478,0.165543352024199,0.21845550871747704,0.7632835713816263
14,3.0,chr10_1Mb,MKK,588,120,51,165,1,477,-293.77194282736286,0.075,-399.8190886790855,-396.9924380113393,336,94,52,0.5531914893617021,0.15476190476190477,0.13756613756613756,0.16116250930636647,0.2151881371054918,0.768185392987585
15,3.0,chr10_1Mb,MKK,588,120,51,165,1,481,-237.86825551821983,0.075,-329.55699825488773,-334.51273538301893,313,93,53,0.5698924731182796,0.16932907348242812,0.1501416430594901,0.1565947730011904,0.20755164483933564,0.7818713412015195
16,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-281.08440889439674,0.08333333333333333,-389.7915535241519,-394.3591485194442,315,95,56,0.5894736842105263,0.17777777777777778,0.15819209039548024,0.16212144848532323,0.2135131032458546,0.7749584603602762
17,3.0,chr10_1Mb,MKK,588,120,51,165,1,482,-293.8092463757977,0.05,-403.12141283658406,-411.22658299283654,302,98,52,0.5306122448979592,0.17218543046357615,0.14942528735632185,0.16162086393197717,0.21538217207540875,0.7727413707711072
18,3.0,chr10_1Mb,MKK,588,120,51,165,1,482,-435.78955074188235,0.10833333333333334,-511.00225982991054,-516.8831337442198,313,91,50,0.5494505494505495,0.1597444089456869,0.14124293785310735,0.16718846978036014,0.22622153659683492,0.7503324298582089
19,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-393.42019707391603,0.025,-495.63221169778006,-485.0417306173731,305,91,42,0.46153846153846156,0.1377049180327869,0.11864406779661017,0.16763847762650683,0.22652774282305513,0.7427903113230445
20,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-316.0460508129315,0.041666666666666664,-428.56532846747774,-422.9888406893137,323,95,52,0.5473684210526316,0.1609907120743034,0.14207650273224043,0.16789099067564983,0.22104989684107673,0.7539506196961319
21,3.0,chr10_1Mb,MKK,588,120,51,165,1,482,-298.3927903315855,0.058333333333333334,-424.4739718649194,-429.1889021321373,317,88,53,0.6022727272727273,0.167192429022082,0.15056818181818182,0.16255424894136802,0.22080558787628382,0.7614213486257735
22,3.0,chr10_1Mb,MKK,588,120,51,165,1,481,-250.6161537408608,0.06666666666666667,-355.8596890948319,-353.5935188319605,311,90,41,0.45555555555555555,0.13183279742765272,0.11388888888888889,0.16245660310936935,0.21515691712292065,0.7663206828880071
23,3.0,chr10_1Mb,MKK,588,120,51,165,1,478,-290.69323614702705,0.041666666666666664,-384.9730573025688,-398.69851320040715,325,93,46,0.4946236559139785,0.14153846153846153,0.12365591397849462,0.16793182139723295,0.21990996865544704,0.7592600293905374
24,3.0,chr10_1Mb,MKK,588,120,51,165,1,477,-308.16266955669096,0.041666666666666664,-414.31185379506746,-420.2998211762212,320,93,56,0.6021505376344086,0.175,0.1568627450980392,0.16172745471175373,0.21662399513589922,0.7702006844817446
25,3.0,chr10_1Mb,MKK,588,120,51,165,1,485,-323.2327049365922,0.09166666666666666,-406.6231025965869,-411.2469769328974,315,87,51,0.5862068965517241,0.1619047619047619,0.1452991452991453,0.16157658136726177,0.22131030988159325,0.7516139238226424
26,3.0,chr10_1Mb,MKK,588,120,51,165,1,483,-368.8414547148383,0.05,-482.8994442027596,-492.8292161811579,337,90,54,0.6,0.16023738872403562,0.1447721179624665,0.17204161958010114,0.23386953966306356,0.7339629545516446
27,3.0,chr10_1Mb,MKK,588,120,51,165,1,489,-340.4159862327085,0.125,-416.14672742367935,-425.44422672254774,308,81,48,0.5925925925925926,0.15584415584415584,0.14076246334310852,0.1643189277253469,0.2220795100343257,0.7464859068983747
28,3.0,chr10_1Mb,MKK,588,120,51,165,1,480,-367.8899504743614,0.041666666666666664,-455.94243026632654,-441.19252296319587,329,93,50,0.5376344086021505,0.1519756838905775,0.13440860215053763,0.1663731053240164,0.2227499233213299,0.7548092475811137
29,3.0,chr10_1Mb,MKK,588,120,51,165,1,479,-242.7939881763688,0.041666666666666664,-342.61088268324914,-352.22730764953525,321,98,51,0.5204081632653061,0.1588785046728972,0.13858695652173914,0.16329524589217057,0.2155522309692547,0.762988675381665
0,10.0,chr10_1Mb,MKK,588,120,51,165,1,476,-311.9185608249683,0.058333333333333334,-407.5900275751397,-437.4232986531665,320,91,44,0.4835164835164835,0.1375,0.11989100817438691,0.16489704021743107,0.21841712074033226,0.7667288262007094
1,10.0,chr10_1Mb,MKK,588,120,51,165,1,479,-293.4935430403524,0.2,-366.1342361788075,-374.6806784230405,309,92,46,0.5,0.1488673139158576,0.1295774647887324,0.15922157684941657,0.21399577630732605,0.7772958325485535
2,10.0,chr10_1Mb,MKK,588,120,51,165,1,485,-169.8471073574986,0.041666666666666664,-272.9961996133309,-280.0935759957053,329,82,40,0.4878048780487805,0.12158054711246201,0.1078167115902965,0.16103566891892368,0.20960567810061,0.7805818293964926
3,10.0,chr10_1Mb,MKK,588,120,51,165,1,478,-249.86790283591841,0.058333333333333334,-383.3948194552248,-379.6560409397966,317,90,46,0.5111111111111111,0.14511041009463724,0.12742382271468145,0.1594100213852574,0.20950498407246018,0.782333294900398
4,10.0,chr10_1Mb,MKK,588,120,51,165,1,482,-152.08665530220367,0.03333333333333333,-277.93366128626803,-272.55406580050396,302,82,38,0.4634146341463415,0.12582781456953643,0.10982658959537572,0.15425622638538367,0.20207734605813416,0.7938527223594437
5,10.0,chr10_1Mb,MKK,588,120,51,165,1,475,-287.7273216238137,0.11666666666666667,-375.7661999142971,-389.3339748628697,307,92,42,0.45652173913043476,0.13680781758957655,0.11764705882352941,0.16291521268267573,0.21375274329051877,0.7731721628954692
6,10.0,chr10_1Mb,MKK,588,120,51,165,1,474,-349.80666922205245,0.18333333333333332,-426.8552737774023,-468.01352463686635,323,99,59,0.5959595959595959,0.1826625386996904,0.162534435261708,0.1639153061342233,0.2167611062742539,0.772216194114501
7,10.0,chr10_1Mb,MKK,588,120,51,165,1,483,-264.14743160431516,0.08333333333333333,-372.7499552269703,-346.00721357543586,310,93,50,0.5376344086021505,0.16129032258064516,0.141643059490085,0.1575175369909827,0.21175131634647107,0.7774670948440908
8,10.0,chr10_1Mb,MKK,588,120,51,165,1,481,-332.9324871538106,0.058333333333333334,-451.0360681558171,-446.74978157548804,309,89,48,0.5393258426966292,0.1553398058252427,0.13714285714285715,0.163298424171979,0.21457888531895045,0.7720792079588772
9,10.0,chr10_1Mb,MKK,588,120,51,165,1,482,-204.00886705997993,0.09166666666666666,-281.0826524025079,-269.8912591574717,317,80,40,0.5,0.12618296529968454,0.11204481792717087,0.15327942184629179,0.20217247088287607,0.7945567528238281
10,10.0,chr10_1Mb,MKK,588,120,51,165,1,480,-219.31080351854968,0.10833333333333334,-309.3931500618881,-326.0353811149737,316,94,46,0.48936170212765956,0.14556962025316456,0.12637362637362637,0.1589701231416094,0.205256879849027,0.7861909223956025
11,10.0,chr10_1Mb,MKK,588,120,51,165,1,479,-227.1003442710049,0.06666666666666667,-365.6566397824484,-381.0446342605247,303,87,44,0.5057471264367817,0.14521452145214522,0.12716763005780346,0.15883516027318487,0.20960423755880891,0.7812014284464502
12,10.0,chr10_1Mb,MKK,588,120,51,165,1,478,-313.08420543291794,0.10833333333333334,-399.70864403637665,-396.1445094493976,316,89,48,0.5393258426966292,0.1518987341772152,0.13445378151260504,0.16369358372247864,0.21780301591644743,0.7635482435591251
13,10.0,chr10_1Mb,MKK,588,120,51,165,1,480,-167.09139899800306,0.1,-243.28885149474618,-253.89794198190123,303,82,40,0.4878048780487805,0.132013201320132,0.11594202898550725,0.15481338961837537,0.2016339078161602,0.796526302409943
14,10.0,chr10_1Mb,MKK,588,120,51,165,1,480,-228.25218880508572,0.058333333333333334,-341.53090772940925,-334.5581810888168,336,94,55,0.5851063829787234,0.1636904761904762,0.14666666666666667,0.15986619807426658,0.21037323602310262,0.776540889042493
15,10.0,chr10_1Mb,MKK,588,120,51,165,1,482,-316.30524508529004,0.1,-386.3573261591445,-389.41060534119316,313,86,45,0.5232558139534884,0.14376996805111822,0.1271186440677966,0.16036553181702912,0.2108308399373231,0.7768036246375262
16,10.0,chr10_1Mb,MKK,588,120,51,165,1,484,-211.64514169217222,0.05,-309.05331926704406,-300.24602014168596,315,86,43,0.5,0.1365079365079365,0.12011173184357542,0.1587470616208018,0.20897199918600362,0.7797079833436471
17,10.0,chr10_1Mb,MKK,588,120,51,165,1,480,-280.6620102769331,0.025,-402.2603046123513,-389.7611895795512,302,90,39,0.43333333333333335,0.1291390728476821,0.11048158640226628,0.16517560478303833,0.218175963155912,0.763956250660209
18,10.0,chr10_1Mb,MKK,588,120,51,165,1,478,-314.4370284981161,0.05,-413.8501154330358,-415.31062712007025,313,98,58,0.5918367346938775,0.1853035143769968,0.1643059490084986,0.16121851722536706,0.2147663852951379,0.7731683191881973
19,10.0,chr10_1Mb,MKK,588,120,51,165,1,476,-240.90654299313402,0.05,-325.2287302413108,-317.33781772278394,305,91,38,0.4175824175824176,0.12459016393442623,0.10614525139664804,0.15874424613178775,0.2057291949628273,0.785308964775064
20,10.0,chr10_1Mb,MKK,588,120,51,165,1,480,-250.23195164838842,0.075,-356.0484934225386,-355.6162325920237,323,87,45,0.5172413793103449,0.1393188854489164,0.1232876712328767,0.16271655530616663,0.21451484746361155,0.7647080669240144
21,10.0,chr10_1Mb,MKK,588,120,51,165,1,485,-208.71352836420346,0.058333333333333334,-300.2280269382557,-303.72604913675696,317,86,37,0.43023255813953487,0.1167192429022082,0.10109289617486339,0.15974342752234527,0.2111239887253358,0.779467709564034
22,10.0,chr10_1Mb,MKK,588,120,51,165,1,477,-406.0822584707177,0.08333333333333333,-510.82348936513955,-523.7693194365378,311,104,49,0.47115384615384615,0.15755627009646303,0.13387978142076504,0.16826496698252547,0.22506972476387277,0.7531109396447965
23,10.0,chr10_1Mb,MKK,588,120,51,165,1,490,-163.88625518332918,0.10833333333333334,-232.4428524783242,-245.79542232788552,325,81,40,0.49382716049382713,0.12307692307692308,0.1092896174863388,0.15724228997351825,0.20562052091694677,0.7837900643646036
24,10.0,chr10_1Mb,MKK,588,120,51,165,1,482,-242.8235415573112,0.1,-339.3334261969748,-341.32699247019434,320,86,52,0.6046511627906976,0.1625,0.14689265536723164,0.15848211854274868,0.20677655197941844,0.7897105932066854
25,10.0,chr10_1Mb,MKK,588,120,51,165,1,482,-336.71278408199555,0.09166666666666666,-465.4566213614427,-467.90654006492815,315,94,56,0.5957446808510638,0.17777777777777778,0.15864022662889518,0.1607320310777967,0.2151576256182225,0.7734460071730711
26,10.0,chr10_1Mb,MKK,588,120,51,165,1,482,-288.71587706227126,0.08333333333333333,-370.82932414381753,-386.71970076489373,337,90,50,0.5555555555555556,0.14836795252225518,0.13262599469496023,0.16594067200657572,0.22041394713624715,0.7620675824662467
27,10.0,chr10_1Mb,MKK,588,120,51,165,1,476,-345.1737916771177,0.11666666666666667,-426.29450713799844,-428.95759677265016,308,90,57,0.6333333333333333,0.18506493506493507,0.16715542521994134,0.15682975034804136,0.21138430875706302,0.7783198235794515
28,10.0,chr10_1Mb,MKK,588,120,51,165,1,481,-243.29727349364302,0.03333333333333333,-348.7485168628128,-354.30487495163214,329,88,49,0.5568181818181818,0.14893617021276595,0.1331521739130435,0.15727304450499546,0.20685989943511207,0.7847622580537715
29,10.0,chr10_1Mb,MKK,588,120,51,165,1,483,-209.64456759772034,0.016666666666666666,-315.5839989008903,-312.719962896436,321,85,46,0.5411764705882353,0.14330218068535824,0.12777777777777777,0.1580195509822954,0.20799452578207892,0.7852908956497096
0,0.03,chr2_5Mb,MKK,300,120,51,165,1,198,-697.3901472109673,0.03333333333333333,-832.0235811011078,-833.3588653316361,188,94,55,0.5851063829787234,0.2925531914893617,0.2422907488986784,0.250116165036912,0.3342871301018663,0.49962029471872715
1,0.03,chr2_5Mb,MKK,300,120,51,165,1,197,-581.3300214338749,0.1,-677.9971126980461,-661.0520927194598,180,93,51,0.5483870967741935,0.2833333333333333,0.22972972972972974,0.22916902281488158,0.3110268903885325,0.557618106709002
2,0.03,chr2_5Mb,MKK,300,120,51,165,1,196,-740.4052546951593,0.1,-843.6571896235713,-855.4918900547602,187,90,57,0.6333333333333333,0.3048128342245989,0.2590909090909091,0.24431031928871136,0.33397486063283355,0.5051419419199618
3,0.03,chr2_5Mb,MKK,300,120,51,165,1,207,-468.9380279523574,0.03333333333333333,-575.4028991240287,-565.1717889837767,189,80,50,0.625,0.26455026455026454,0.228310502283105,0.21603246142220844,0.29517921433346583,0.5960531682787027
4,0.03,chr2_5Mb,MKK,300,120,51,165,1,198,-754.618235481831,0.075,-835.09472756278,-830.5684069131079,184,90,50,0.5555555555555556,0.2717391304347826,0.22321428571428573,0.24498338748335488,0.33628387828158723,0.4792272649538983
5,0.03,chr2_5Mb,MKK,300,120,51,165,1,199,-510.49288800978104,0.0,-637.575789977816,-615.0895832445515,180,91,55,0.6043956043956044,0.3055555555555556,0.25462962962962965,0.22070115559183393,0.30472239688280933,0.5754843477169288
6,0.03,chr2_5Mb,MKK,300,120,51,165,1,207,-536.2479054530774,0.041666666666666664,-607.8327332655242,-602.6941914421448,186,79,51,0.6455696202531646,0.27419354838709675,0.2383177570093458,0.22527519218540387,0.31024331904108965,0.5463231466171239
7,0.03,chr2_5Mb,MKK,300,120,51,165,1,202,-646.5864690075239,0.075,-777.2426042175764,-787.6867011245781,189,89,55,0.6179775280898876,0.291005291005291,0.24663677130044842,0.2350049840476089,0.3217028535070815,0.5309845612706628
8,0.03,chr2_5Mb,MKK,300,120,51,165,1,201,-661.8079593300322,0.06666666666666667,-746.8831531056773,-744.9357758405375,182,88,53,0.6022727272727273,0.29120879120879123,0.24423963133640553,0.23394451698900895,0.32416725432388693,0.5212092443878183
9,0.03,chr2_5Mb,MKK,300,120,51,165,1,197,-670.7461381739206,0.025,-794.487837738219,-782.6799629849799,188,90,47,0.5222222222222223,0.25,0.20346320346320346,0.24287682477430383,0.33499642805590363,0.47514446228478385
10,0.03,chr2_5Mb,MKK,300,120,51,165,1,204,-565.9131029872341,0.08333333333333333,-650.2816686492729,-658.3288924155592,181,91,55,0.6043956043956044,0.30386740331491713,0.2534562211981567,0.21905693075797042,0.3011934826918425,0.592176752140634
11,0.03,chr2_5Mb,MKK,300,120,51,165,1,207,-482.4088483680526,0.041666666666666664,-619.6794419072289,-600.6805007694038,176,85,49,0.5764705882352941,0.2784090909090909,0.23113207547169812,0.2188243555312881,0.3041676383577047,0.5771952648585229
12,0.03,chr2_5Mb,MKK,300,120,51,165,1,202,-579.9341386733706,0.041666666666666664,-738.2616131421935,-716.130487500943,173,89,49,0.550561797752809,0.2832369942196532,0.2300469483568075,0.23328826256650392,0.3140394587280608,0.5659231269199883
13,0.03,chr2_5Mb,MKK,300,120,51,165,1,203,-713.6035751596035,0.06666666666666667,-818.1338638723081,-817.6250890758665,184,91,56,0.6153846153846154,0.30434782608695654,0.2557077625570776,0.23559822395669414,0.3291768147300287,0.5145902822699466
14,0.03,chr2_5Mb,MKK,300,120,51,165,1,204,-436.61292380286704,0.041666666666666664,-578.7895962654954,-577.879986010914,186,83,56,0.6746987951807228,0.3010752688172043,0.26291079812206575,0.21420442296080505,0.2891767695372249,0.6196698017873847
15,0.03,chr2_5Mb,MKK,300,120,51,165,1,204,-710.1082402356753,0.075,-839.7542038601503,-821.2695698913834,170,86,49,0.5697674418604651,0.28823529411764703,0.23671497584541062,0.24169425025221186,0.33705965728077003,0.4861245994982219
16,0.03,chr2_5Mb,MKK,300,120,51,165,1,196,-721.5029472926203,0.041666666666666664,-837.0737863552954,-825.2163496870451,184,95,54,0.5684210526315789,0.29347826086956524,0.24,0.2366324220043767,0.32217041569230853,0.546664495243784
17,0.03,chr2_5Mb,MKK,300,120,51,165,1,204,-730.6925746067989,0.1,-825.210613223378,-840.1593389060362,187,86,51,0.5930232558139535,0.2727272727272727,0.22972972972972974,0.23750101294327475,0.33102119158369225,0.5153855407780688
18,0.03,chr2_5Mb,MKK,300,120,51,165,1,197,-760.2052081529374,0.075,-833.0595232637531,-830.3623431775161,193,93,54,0.5806451612903226,0.27979274611398963,0.23275862068965517,0.25138424820706723,0.34225180249322323,0.4696345527377802
19,0.03,chr2_5Mb,MKK,300,120,51,165,1,198,-747.3529065674237,0.025,-836.4906577563083,-823.4026566174704,178,93,49,0.5268817204301075,0.2752808988764045,0.22072072072072071,0.23828346011833398,0.3310289438999357,0.5064363869946473
20,0.03,chr2_5Mb,MKK,300,120,51,165,1,204,-637.7073147955175,0.05,-791.6158400548077,-822.3983817241028,192,89,57,0.6404494382022472,0.296875,0.2544642857142857,0.24571089596901274,0.3301984978071317,0.5014015653559485
21,0.03,chr2_5Mb,MKK,300,120,51,165,1,201,-671.7640602393143,0.09166666666666666,-764.0352296538408,-764.6600372222993,189,90,54,0.6,0.2857142857142857,0.24,0.23932120692134656,0.3236867157174827,0.5276126577228619
22,0.03,chr2_5Mb,MKK,300,120,51,165,1,199,-759.8893331590418,0.075,-837.0598176551543,-828.8615805738932,180,92,56,0.6086956521739131,0.3111111111111111,0.25925925925925924,0.23709915477972718,0.3318866636083933,0.4954786976049565
23,0.03,chr2_5Mb,MKK,300,120,51,165,1,207,-609.8863684340545,0.03333333333333333,-771.6929961963637,-767.9573805791061,183,84,53,0.6309523809523809,0.2896174863387978,0.24766355140186916,0.2327717944977108,0.3216188367066054,0.5339676868935643
24,0.03,chr2_5Mb,MKK,300,120,51,165,1,206,-636.4167663039714,0.05,-766.9420947761098,-752.6187831038484,186,87,53,0.6091954022988506,0.2849462365591398,0.2409090909090909,0.23247887030006475,0.3208073264209208,0.5477507288891754
25,0.03,chr2_5Mb,MKK,300,120,51,165,1,198,-575.4210278260326,0.016666666666666666,-694.7486658619115,-683.3410349226809,188,88,48,0.5454545454545454,0.2553191489361702,0.21052631578947367,0.23161095554889272,0.30933038366934823,0.5657885900262568
26,0.03,chr2_5Mb,MKK,300,120,51,165,1,198,-614.2186556297386,0.025,-777.6578620139868,-772.1695661933912,183,89,55,0.6179775280898876,0.3005464480874317,0.2534562211981567,0.22909334935087505,0.3180740647853751,0.5401388696811178
27,0.03,chr2_5Mb,MKK,300,120,51,165,1,197,-710.5125646905288,0.025,-863.3641103774498,-850.1848914990676,180,96,66,0.6875,0.36666666666666664,0.3142857142857143,0.23657942676380553,0.3297071662391432,0.517482287916045
28,0.03,chr2_5Mb,MKK,300,120,51,165,1,194,-791.2097486617959,0.125,-855.2488238737053,-858.4448343862051,187,96,60,0.625,0.32085561497326204,0.26905829596412556,0.2525936071369138,0.347496110681024,0.44137955374850896
29,0.03,chr2_5Mb,MKK,300,120,51,165,1,200,-629.7268548398223,0.0,-744.5079404451463,-728.5648274442539,187,91,61,0.6703296703296703,0.32620320855614976,0.28110599078341014,0.2309154237696067,0.31921167766845804,0.5395539920496186
0,0.1,chr2_5Mb,MKK,300,120,51,165,1,197,-717.2969616398784,0.05,-820.4300995143022,-825.6163340722777,188,92,52,0.5652173913043478,0.2765957446808511,0.22807017543859648,0.24748893991343002,0.33337303097401483,0.5079132757989011
1,0.1,chr2_5Mb,MKK,300,120,51,165,1,197,-559.3874590710595,0.09166666666666666,-648.4898186845945,-635.4185983748522,180,93,51,0.5483870967741935,0.2833333333333333,0.22972972972972974,0.22812106510006444,0.30624937653061,0.5723378733876092
2,0.1,chr2_5Mb,MKK,300,120,51,165,1,197,-768.0113911087112,0.1,-864.4847899956538,-872.8732071024989,187,88,54,0.6136363636363636,0.2887700534759358,0.24434389140271492,0.2416513334634783,0.33098958745222157,0.5277088393922559
3,0.1,chr2_5Mb,MKK,300,120,51,165,1,206,-487.4707379517172,0.016666666666666666,-583.8328260213183,-574.574250503148,189,82,50,0.6097560975609756,0.26455026455026454,0.22624434389140272,0.21790488967699892,0.2980026515058805,0.5830793121739274
4,0.1,chr2_5Mb,MKK,300,120,51,165,1,197,-703.4431593581565,0.08333333333333333,-808.6390719197433,-793.5708519210741,184,95,55,0.5789473684210527,0.29891304347826086,0.24553571428571427,0.23988471455784408,0.32818465572964267,0.5157933351819992
5,0.1,chr2_5Mb,MKK,300,120,51,165,1,197,-536.8574879787254,0.0,-674.1587518043042,-640.8329634124581,180,92,59,0.6413043478260869,0.3277777777777778,0.27699530516431925,0.21681052344330473,0.3042065363209185,0.5854746413156318
6,0.1,chr2_5Mb,MKK,300,120,51,165,1,203,-561.832381630722,0.008333333333333333,-678.444358695281,-666.1962904278772,186,82,51,0.6219512195121951,0.27419354838709675,0.2350230414746544,0.22381432120606926,0.3102294132875242,0.5632184700208152
7,0.1,chr2_5Mb,MKK,300,120,51,165,1,202,-574.2595567749396,0.075,-662.1612796520972,-666.9354020809454,189,89,54,0.6067415730337079,0.2857142857142857,0.24107142857142858,0.22587444516762128,0.3056172321407781,0.5701872715740891
8,0.1,chr2_5Mb,MKK,300,120,51,165,1,201,-679.6049429008391,0.075,-761.5562561076352,-762.4653874146261,182,90,53,0.5888888888888889,0.29120879120879123,0.2420091324200913,0.23335122623317897,0.3234784649934914,0.5240073493487803
9,0.1,chr2_5Mb,MKK,300,120,51,165,1,195,-668.4843694160064,0.008333333333333333,-784.2652619089245,-775.9641902698679,188,89,47,0.5280898876404494,0.25,0.20434782608695654,0.24069473168581718,0.3311400478342574,0.48901978700878884
10,0.1,chr2_5Mb,MKK,300,120,51,165,1,205,-592.698687851635,0.075,-692.5209266151687,-697.3228532619667,181,86,57,0.6627906976744186,0.3149171270718232,0.2714285714285714,0.21867609641919813,0.30413760941233997,0.5872822136312371
11,0.1,chr2_5Mb,MKK,300,120,51,165,1,205,-523.378335075231,0.03333333333333333,-643.3496211556987,-629.5662616303644,176,87,49,0.5632183908045977,0.2784090909090909,0.22897196261682243,0.2215920322989649,0.3077509546431659,0.5696114597467706
